objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
6925,E05011024,Appleton, ,361117,383374,-2.58551002,53.34579849,20249645.0832878,29078.8079431634
6926,E05011025,Bewsey and Whitecross, ,360042,388733,-2.60233998,53.39390182,7014215.23699106,15683.2553439044
6927,E05011026,Birchwood, ,365403,392002,-2.52207994,53.42369843,8105332.41335749,12525.4308512786
6928,E05011027,Burtonwood and Winwick, ,359318,392756,-2.61373997,53.43000031,19448927.5743275,29984.8121608083
6929,E05011028,Chapelford and Old Hall, ,358136,389579,-2.63110995,53.40140152,2837755.05705545,7033.00633398251
6930,E05011029,"Culcheth, Glazebury and Croft", ,365063,395319,-2.52757001,53.45349884,26497362.8492974,23413.3270246108
6931,E05011030,Fairfield and Howley, ,361787,388666,-2.5760901,53.39350128,2425700.7686422,7473.55730155073
6932,E05011031,Grappenhall, ,364314,384524,-2.53762007,53.35639954,11540038.4040852,18807.1636294219
6933,E05011032,Great Sankey North and Whittle Hall, ,356231,389544,-2.65974998,53.40090179,3491949.29521987,8849.85313919257
6934,E05011033,Great Sankey South, ,358157,388071,-2.63058996,53.38779831,3556503.66150184,9026.31744576568
6935,E05011034,Latchford East, ,363109,387804,-2.55610991,53.38579941,2226840.74570024,8178.73214985242
6936,E05011035,Latchford West, ,361202,387202,-2.58470011,53.38019943,2259642.62832219,9043.40970306957
6937,E05011036,Lymm North and Thelwall, ,365109,387090,-2.52595997,53.37950134,11190577.7940585,23426.07276144
6938,E05011037,Lymm South, ,368440,385946,-2.47577,53.36940002,9739560.78354861,17702.538299702
6939,E05011038,Orford, ,361177,390040,-2.58542991,53.40579987,2210199.60205844,6798.43125480264
6940,E05011039,Penketh and Cuerdley, ,355495,386764,-2.67042994,53.37590027,15271747.7661637,19132.7461899661
6941,E05011040,Poplars and Hulme, ,361741,390913,-2.57704997,53.41360092,3864159.249803,11562.4697987477
6942,E05011041,Poulton North, ,363504,390788,-2.55051994,53.41260147,3292853.64302358,7972.72804830085
6943,E05011042,Poulton South, ,362895,389240,-2.55949998,53.39870071,1815919.30155062,6921.13576305341
6944,E05011043,Rixton and Woolston, ,367188,390545,-2.49506998,53.41070175,20565145.0105242,21163.5945520373
6945,E05011044,Stockton Heath, ,361087,385980,-2.58628011,53.36930084,1720944.83727181,7946.64411728632
6946,E05011045,Westbrook, ,358400,390631,-2.62728,53.41090012,3058625.26174851,8591.74376827081
6947,E05011046,Callowland, ,510868,198185,-0.39811999,51.67150116,832876.74532908,4891.45022123777
6948,E05011047,Central, ,511217,196298,-0.39366999,51.65449905,1645653.56996764,5694.48278159216
6949,E05011048,Holywell, ,509705,195385,-0.41580999,51.64659882,1853757.39575981,6615.72092494408
6950,E05011049,Leggatts, ,510368,198919,-0.40511,51.67819977,1309323.68590214,6242.76294073507
6951,E05011050,Meriden, ,512040,199878,-0.38062999,51.68650055,1944336.62127114,7474.21797946219
6952,E05011051,Nascot, ,509735,198500,-0.41440001,51.67459869,1813151.70753293,7829.59501124736
6953,E05011052,Oxhey, ,511673,195037,-0.38749,51.64310074,1724628.46432633,7174.36974885162
6954,E05011053,Park, ,509314,197318,-0.42085001,51.66400146,4326276.70366978,11923.346627997
6955,E05011054,Stanborough, ,510826,199996,-0.39815,51.68780136,1458777.12692038,5729.24415034087
6956,E05011055,Tudor, ,511717,198257,-0.38582,51.67200089,1994785.64418588,7702.83453502746
6957,E05011056,Vicarage, ,510464,196034,-0.40463999,51.65219879,828583.21287915,4145.97887225045
6958,E05011057,Woodside, ,510764,200505,-0.39888,51.69240189,1698202.63637973,8338.7504441053
6959,E05011058,Brookmans Park and Little Heath, ,526668,206836,-0.16661,51.7458992,26430741.2653483,36398.9087109501
6960,E05011059,Haldens, ,525418,213666,-0.18223999,51.80759811,2905654.62599387,9029.52132001376
6961,E05011060,Handside, ,523165,212076,-0.21547,51.79380035,3612942.80937866,9506.98727752595
6962,E05011061,Hatfield Central, ,522327,209172,-0.22863001,51.76789856,2030527.27901474,8801.43616452446
6963,E05011062,Hatfield East, ,524336,208845,-0.19965,51.76449966,10585016.3334967,18071.1869582041
6964,E05011063,Hatfield South West, ,521931,207516,-0.23495001,51.75310135,2041159.89190964,6864.51359724919
6965,E05011064,Hatfield Villages, ,520792,210181,-0.25051999,51.77730179,16325536.2704279,18869.9712296877
6966,E05011065,Hollybush, ,524332,211426,-0.19879,51.78770065,1728275.50766604,6358.05715385351
6967,E05011066,Howlands, ,525886,211585,-0.17621,51.78879929,2078379.63161057,8503.70225371557
6968,E05011067,Northaw and Cuffley, ,529113,203349,-0.13251001,51.7140007,21602526.0093193,23106.0604790597
6969,E05011068,Panshanger, ,526638,212746,-0.16489001,51.79899979,1866420.4175816,9234.5457464523
6970,E05011069,Peartree, ,524541,212639,-0.19532,51.79850006,1705058.04559356,5788.68165472024
6971,E05011070,Sherrards, ,523439,214555,-0.21061,51.81600189,3068170.31045933,7417.17095198296
6972,E05011071,Welham Green and Hatfield South, ,523270,204833,-0.21651,51.72869873,11711849.0114084,21044.777031981
6973,E05011072,Welwyn East, ,524914,216209,-0.18863,51.83050156,9248802.00113004,19065.3944317446
6974,E05011073,Welwyn West, ,520834,216561,-0.24769001,51.83459854,12595848.8728208,28919.4753624999
6975,E05011074,Claygate, ,515856,163673,-0.33735001,51.36029816,4711007.92691927,10350.1059519591
6976,E05011075,Cobham and Downside, ,510397,159920,-0.41689,51.32770157,15806778.902895,22104.829201393
6977,E05011076,Esher, ,513280,164287,-0.37413999,51.36629868,10096445.6705831,16819.6149338926
6978,E05011077,Hersham Village, ,511389,163903,-0.40141001,51.36330032,3527863.94054596,13492.616289805
6979,E05011078,Hinchley Wood and Weston Green, ,515762,165050,-0.33825001,51.37269974,4639078.07541943,13757.6412708144
6980,E05011079,Long Ditton, ,516719,166320,-0.32409,51.38389969,2314265.36183202,9085.85126777747
6981,E05011080,Molesey East, ,514441,168137,-0.35622999,51.40069962,3186923.10544587,11210.2466202258
6982,E05011081,Molesey West, ,513260,167784,-0.37331,51.39780045,2379629.32530552,8011.88746387537
6983,E05011082,Oatlands and Burwood Park, ,509456,164524,-0.42897001,51.36920166,3639007.79128555,10235.6790230262
6984,E05011083,Oxshott and Stoke D'Abernon, ,514387,160374,-0.35949999,51.33100128,15792995.0319091,19611.5446029373
6985,E05011084,Thames Ditton, ,515416,167239,-0.34251001,51.39250183,2641203.74292802,8011.00054036833
6986,E05011085,Walton Central, ,510129,166431,-0.41872001,51.38619995,2058056.69437995,10099.0098815045
6987,E05011086,Walton North, ,511295,167316,-0.40169001,51.39400101,5237187.60420096,10603.5619489845
6988,E05011087,Walton South, ,512135,165919,-0.39006001,51.38119888,3198185.44048986,10585.0620242382
6989,E05011088,Weybridge Riverside, ,507791,165172,-0.45269001,51.37540054,4100224.15124987,13213.8619535455
6990,E05011089,Weybridge St George's Hill, ,508390,162029,-0.44503999,51.34700012,13005432.360378,20907.5641547487
6991,E05011090,Bryher, ,87621,14916,-6.35646009,49.95249939,2219766.85275913,23947.3218963511
6992,E05011091,St Agnes, ,87978,7962,-6.34588003,49.89030075,2731479.8691537,35189.5851600018
6993,E05011092,St Martin's, ,92962,15547,-6.28272009,49.96089935,4299889.4973395,40527.2094016871
6994,E05011093,St Mary's, ,91327,11447,-6.3021698,49.9233017,7462370.94103358,28562.4486547871
6995,E05011094,Tresco, ,89158,14925,-6.33510017,49.95339966,6135886.89462707,48334.7597059031
6996,E05011095,Borough & Bankside, ,532060,179951,-0.09868,51.50310135,1195797.4317918,5358.06120962858
6997,E05011096,Camberwell Green, ,532411,176986,-0.09474,51.47629929,927538.759444395,5248.48745317603
6998,E05011097,Champion Hill, ,533254,175614,-0.08312,51.46379852,1050533.0919745,5147.54665220071
6999,E05011098,Chaucer, ,532629,179457,-0.09067,51.49850082,750575.009003575,3765.70927013425
7000,E05011099,Dulwich Hill, ,534447,174361,-0.06643,51.45230103,998510.539423005,4630.24856027734
7001,E05011100,Dulwich Village, ,532925,174176,-0.08839,51.45100021,2619947.77976727,7528.290044277
7002,E05011101,Dulwich Wood, ,533672,172044,-0.07846,51.43159866,3015940.73221185,8481.59824904768
7003,E05011102,Faraday, ,532978,178023,-0.08619,51.48550034,1101404.15925999,5689.06100336317
7004,E05011103,Goose Green, ,533778,174852,-0.07587,51.45679855,1155529.97089197,5309.57410158668
7005,E05011104,London Bridge & West Bermondsey, ,533298,179562,-0.081,51.4992981,1270875.72276662,5828.86821587124
7006,E05011105,Newington, ,531879,177995,-0.10202,51.48550034,778903.426967505,4628.45723821994
7007,E05011106,North Bermondsey, ,534403,179367,-0.06516,51.49729919,1125985.49840393,6344.92206609084
7008,E05011107,North Walworth, ,532642,178540,-0.09083,51.49020004,796107.46457122,4444.89840734576
7009,E05011108,Nunhead & Queen's Road, ,535126,176358,-0.05591,51.4701004,1317205.68688719,6335.26633223809
7010,E05011109,Old Kent Road, ,534560,177830,-0.06349,51.48339844,1659187.93693084,6631.72448003635
7011,E05011110,Peckham, ,533948,177110,-0.07257,51.47710037,855236.73270501,4802.56501534023
7012,E05011111,Peckham Rye, ,535283,174733,-0.05427,51.45539856,1892355.8160834,6991.43959226107
7013,E05011112,Rotherhithe, ,535522,179391,-0.04904,51.49720001,1525010.88163791,8337.69378068885
7014,E05011113,Rye Lane, ,534224,176122,-0.06897,51.46820068,1271791.32700219,5931.0162963734
7015,E05011114,St George's, ,531631,179297,-0.1051,51.49729919,572960.853221905,3307.50044868047
7016,E05011115,St Giles, ,533220,176862,-0.08314,51.47499847,1120796.85582224,6114.02571776799
7017,E05011116,South Bermondsey, ,534098,178843,-0.06975,51.49259949,1200925.64858784,5972.42979417844
7018,E05011117,Surrey Docks, ,536135,179388,-0.04022,51.49700165,1710321.18504211,6991.9740191549
7019,E05011118,Acocks Green, ,412052,282830,-1.82411003,52.44329834,3840632.35886107,8757.57009677013
7020,E05011119,Allens Cross, ,401463,279538,-1.97991002,52.41379929,1899291.75027123,8385.30833589485
7021,E05011120,Alum Rock, ,410291,288074,-1.84985995,52.4905014,2828477.66204028,7149.44582915066
7022,E05011121,Aston, ,407851,290202,-1.88574004,52.50970078,3361886.30998956,8912.7941766008
7023,E05011122,Balsall Heath West, ,407356,284699,-1.89315999,52.46020126,1582428.29098903,5504.82016095598
7024,E05011123,Bartley Green, ,400501,281629,-1.99405003,52.43270111,8291511.62254911,14292.0440908037
7025,E05011124,Billesley, ,408583,280405,-1.87521005,52.42160034,4913623.56482668,11337.4323403304
7026,E05011125,Birchfield, ,405945,290168,-1.91383004,52.50939941,1430008.06906897,6366.41407365635
7027,E05011126,Bordesley & Highgate, ,407828,286170,-1.88618004,52.47340012,3916612.17597765,10090.3685951902
7028,E05011127,Bordesley Green, ,409215,285973,-1.86575997,52.47159958,1576950.47663301,7161.02042095403
7029,E05011128,Bournbrook & Selly Park, ,405308,282291,-1.92332995,52.43859863,2607205.96855778,7295.757606419
7030,E05011129,Bournville & Cotteridge, ,403943,280808,-1.94342995,52.4253006,4969462.19612981,10718.1667007154
7031,E05011130,Brandwood & King's Heath, ,407082,280866,-1.89726996,52.42570114,3869488.88026738,10906.6778673693
7032,E05011131,Bromford & Hodge Hill, ,413160,289050,-1.80755997,52.49919891,4085312.40030104,10487.1120790079
7033,E05011132,Castle Vale, ,414609,291205,-1.78612006,52.51850128,2473785.32274999,6295.77683846907
7034,E05011133,Druids Heath & Monyhull, ,406750,279092,-1.90217996,52.40980148,2375986.00638038,7180.901521045
7035,E05011134,Edgbaston, ,405039,284620,-1.92726004,52.45949936,7901550.94701695,12944.5473115466
7036,E05011135,Erdington, ,411573,292403,-1.83082998,52.52939987,3855343.47703695,11569.9536883351
7037,E05011136,Frankley Great Park, ,399287,278448,-2.01188993,52.40399933,2757689.74021964,11059.2798523148
7038,E05011137,Garretts Green, ,414995,286136,-1.78066003,52.47299957,2457849.63335196,8383.89309781312
7039,E05011138,Glebe Farm & Tile Cross, ,415287,287184,-1.77631998,52.48239899,5253346.84712091,15152.4088770292
7040,E05011139,Gravelly Hill, ,410369,290540,-1.84862995,52.51269913,2357309.21520546,7479.69078807215
7041,E05011140,Hall Green North, ,410870,281630,-1.84153998,52.43249893,3794236.81279011,11934.8620746455
7042,E05011141,Hall Green South, ,410572,279991,-1.84597003,52.4178009,2128066.40707829,6875.44866078415
7043,E05011142,Handsworth, ,404869,290008,-1.92967999,52.50799942,1541327.51905878,6233.43844236617
7044,E05011143,Handsworth Wood, ,404294,291527,-1.93814003,52.52159882,6116066.82520021,12061.6461882507
7045,E05011144,Harborne, ,402791,284633,-1.96034002,52.45959854,5132208.30650929,10987.8116925987
7046,E05011145,Heartlands, ,411433,286748,-1.83308005,52.47850037,2240098.13973557,7399.56993257895
7047,E05011146,Highter's Heath, ,408373,278890,-1.87832999,52.40800095,1882267.02391123,6376.12930027496
7048,E05011147,Holyhead, ,403425,290041,-1.95096004,52.50830078,1404852.41100344,5563.42494247263
7049,E05011148,King's Norton North, ,404080,278635,-1.94143999,52.40570068,3590393.41352799,13664.323449184
7050,E05011149,King's Norton South, ,404833,277860,-1.93037999,52.3987999,2674397.40947996,8184.97079750559
7051,E05011150,Kingstanding, ,408230,294247,-1.88005996,52.54600143,3551244.41337438,10794.0986870818
7052,E05011151,Ladywood, ,405954,286564,-1.91375995,52.47700119,3681257.45100557,10054.0669836273
7053,E05011152,Longbridge & West Heath, ,402069,277441,-1.97100997,52.39500046,5150105.87774546,12904.5342419182
7054,E05011153,Lozells, ,406297,289356,-1.90866005,52.5021019,1123392.77062557,5343.76696357587
7055,E05011154,Moseley, ,407468,282796,-1.89154994,52.44309998,5908307.17775017,13861.4483857593
7056,E05011155,Nechells, ,408552,288510,-1.87546003,52.49440002,5752112.5576987,12627.747554881
7057,E05011156,Newtown, ,406857,288304,-1.90042996,52.49259949,2213504.60621059,6240.22372069204
7058,E05011157,North Edgbaston, ,403608,287084,-1.94828999,52.4817009,3496562.56742486,10203.0590420493
7059,E05011158,Northfield, ,401579,278488,-1.97819996,52.40439987,2719125.89461112,11493.441642688
7060,E05011159,Oscott, ,406859,294097,-1.90028,52.54470062,4373149.89987236,9420.12914942468
7061,E05011160,Perry Barr, ,406630,292075,-1.90369999,52.5265007,7346870.16452258,13075.6456984014
